order,AIC,BIC
"(2, 1, 2)",3615.343498449969,3637.1844343817215
"(3, 1, 1)",3615.740707600845,3637.5816435325974
"(1, 1, 3)",3616.1973143776313,3638.038250309384
"(3, 1, 2)",3617.339203339055,3643.548326457158
"(2, 1, 3)",3617.34235807583,3643.551481193933
"(1, 1, 2)",3617.6390102201676,3635.1117589655696
"(3, 1, 3)",3619.342019293855,3649.9193295983087
"(2, 1, 1)",3620.1800021951785,3637.6527509405805
"(3, 0, 3)",3623.3697092103816,3658.3289170730077
"(3, 0, 2)",3623.702993775042,3654.29230065484
