order,seasonal_order,AIC,BIC
"(1, 0, 1)","(0, 1, 1, 12)",3547.226898522863,3564.5243343723882
"(1, 0, 1)","(1, 1, 1, 12)",3549.219816080582,3570.8416108924885
"(1, 1, 1)","(0, 1, 1, 12)",3566.0796592934435,3583.3699202531525
"(1, 1, 1)","(1, 1, 1, 12)",3568.079420901305,3589.6922471009416
"(0, 1, 1)","(0, 1, 1, 12)",3570.99932391343,3583.9670196332117
"(0, 1, 1)","(1, 1, 1, 12)",3572.999310328408,3590.289571288117
"(1, 1, 1)","(0, 0, 1, 12)",3597.65922374391,3615.034745480415
"(1, 1, 1)","(1, 0, 1, 12)",3598.801493495878,3620.5208956665097
"(1, 1, 0)","(0, 1, 1, 12)",3599.773233707324,3612.746310594468
"(1, 1, 0)","(1, 1, 1, 12)",3601.772729315869,3619.0701651653944
